숙소id,공항,자동차거리(m)
36121,LGA,16410
36647,LGA,11285
38663,LGA,16893
38833,LGA,11367
39282,LGA,11350
39572,LGA,15413
6848,LGA,11835
6872,LGA,10647
6990,LGA,11759
7097,LGA,14573
7801,LGA,11813
8490,LGA,14311
93313,LGA,14170
94783,LGA,15888
96471,LGA,14789
98663,LGA,14635
100002,LGA,16986
100186,LGA,21547
42300,LGA,14670
42729,LGA,19401
43105,LGA,13661
44229,LGA,14203
44973,LGA,11937
9357,LGA,15351
10452,LGA,14762
12940,LGA,15238
14314,LGA,11513
15341,LGA,15068
15385,LGA,12194
16580,LGA,15491
45910,LGA,10755
45935,LGA,9754
45936,LGA,12318
103555,LGA,14274
105469,JFK,18257
106363,LGA,13313
106647,LGA,14442
107630,LGA,11031
112435,LGA,14651
113265,LGA,16062
115535,LGA,12372
46911,LGA,17190
49048,LGA,14779
16821,LGA,14772
16974,LGA,9834
17037,LGA,15092
18152,LGA,13132
18728,LGA,15810
19174,LGA,15736
19282,LGA,18333
52689,LGA,4482
53469,LGA,10355
115748,LGA,5105
118061,LGA,20355
125163,LGA,20511
135465,LGA,15503
136493,LGA,16886
53470,LGA,10971
53477,LGA,9937
54466,LGA,12154
54508,LGA,16308
54544,LGA,11289
54860,LGA,10292
21794,LGA,15674
23135,LGA,19330
23545,LGA,13193
24285,LGA,17407
26785,LGA,18731
27883,LGA,15446
55959,LGA,11350
56859,LGA,11043
57166,LGA,3686
57297,LGA,16631
140133,LGA,12211
141335,LGA,24888
144087,LGA,11338
146726,LGA,10684
148259,LGA,11873
148825,LGA,12738
150804,LGA,14412
57874,LGA,10044
58059,LGA,12261
59014,LGA,14378
28907,LGA,12177
29013,LGA,14742
29628,LGA,15037
31130,LGA,14475
31994,LGA,14539
33009,LGA,11511
59121,LGA,10804
60611,LGA,11054
151199,LGA,5995
152263,LGA,10911
157673,LGA,21278
158061,LGA,19505
166006,LGA,12581
60666,LGA,10891
34760,LGA,14676
212109,LGA,18035
213330,LGA,14940
216080,LGA,14722
218358,LGA,11507
219066,LGA,33247
219922,LGA,11810
60680,LGA,15527
61406,LGA,11764
62925,LGA,10514
63588,LGA,15758
63610,LGA,19523
168123,LGA,23012
169483,JFK,27171
170761,LGA,15362
173151,LGA,10872
174966,LGA,15293
176135,LGA,15993
223930,LGA,16214
225354,LGA,12654
225976,EWR,24299
226021,LGA,11706
227495,LGA,14262
228317,LGA,19984
64314,LGA,16035
64365,LGA,15971
66008,LGA,17980
66251,LGA,15497
177606,LGA,13997
179670,LGA,14864
180201,LGA,11601
182069,LGA,12485
66275,LGA,14900
66974,LGA,17844
233638,LGA,11022
235552,LGA,18499
235951,LGA,13825
235960,LGA,14491
67299,LGA,12139
68735,LGA,14442
68974,LGA,15091
190974,LGA,17790
191610,LGA,15452
195123,LGA,13658
195240,LGA,24125
195989,LGA,17648
69894,LGA,15425
245544,LGA,18000
245574,LGA,14247
248865,LGA,11490
248966,LGA,11598
249704,LGA,11296
249867,LGA,19463
71366,LGA,16524
199733,LGA,16308
201992,LGA,16938
204065,LGA,14591
205485,LGA,14431
206957,JFK,22756
75635,LGA,15226
75658,LGA,14005
250536,LGA,11657
251277,LGA,14443
253332,LGA,28591
253466,LGA,11490
253471,LGA,11490
253475,LGA,11490
253800,LGA,11490
77765,LGA,11479
79067,LGA,15226
80493,LGA,14794
208889,LGA,13032
209310,LGA,8740
274743,LGA,12976
276021,LGA,12811
276317,LGA,16430
277883,LGA,23837
253803,LGA,11490
253806,LGA,11490
253811,LGA,11490
253846,LGA,11490
255476,LGA,11586
255601,LGA,14711
82638,LGA,14892
82928,LGA,14402
83243,LGA,19525
83474,LGA,15924
281851,LGA,11083
286662,LGA,16661
287408,LGA,15890
287845,LGA,18258
84010,LGA,11479
89427,LGA,14789
400078,LGA,13011
255957,LGA,14919
257097,LGA,14822
260755,LGA,16805
409262,LGA,17548
292121,LGA,15150
292800,LGA,17301
294227,LGA,11096
294242,LGA,11096
294259,LGA,11096
294263,LGA,11096
411918,LGA,21877
413504,LGA,11722
416557,LGA,9978
294280,LGA,11096
295998,LGA,13733
296717,LGA,14961
298759,LGA,15875
301034,LGA,11492
263232,LGA,12447
263888,LGA,14902
266449,LGA,14634
266753,LGA,14517
417685,LGA,17569
424767,LGA,13712
425423,LGA,17897
267652,LGA,23710
268335,LGA,11888
268439,LGA,11567
269283,LGA,20983
269404,LGA,4340
270139,LGA,11055
270231,LGA,6676
270345,LGA,15359
431865,LGA,13696
302238,LGA,10739
302280,LGA,11005
302309,LGA,10741
302705,LGA,13640
302758,LGA,9948
303264,LGA,10523
305245,LGA,10808
310325,LGA,12201
310338,LGA,12297
432823,LGA,17928
433414,LGA,14796
433914,LGA,19682
437352,LGA,19014
272026,LGA,17176
518566,LGA,14327
519310,LGA,6812
523123,LGA,18690
528485,LGA,20928
530576,LGA,15766
439750,LGA,10501
310524,LGA,13697
314982,LGA,14614
318021,LGA,11476
321136,LGA,13546
322037,LGA,11857
439870,LGA,17899
442636,LGA,17481
443646,LGA,14157
447766,LGA,13662
448011,LGA,14565
325429,LGA,12976
332208,LGA,10932
333323,LGA,15959
336055,LGA,17972
532288,LGA,17177
533506,LGA,16025
536578,LGA,11301
538465,LGA,16863
540057,LGA,12942
541725,LGA,12061
542054,LGA,16025
543792,LGA,10175
449660,LGA,23303
450577,LGA,15213
453094,LGA,14540
455734,LGA,17531
456190,LGA,17392
342995,LGA,10703
343276,LGA,14542
343766,LGA,6622
344082,LGA,14615
351859,LGA,14355
352651,LGA,23117
353317,LGA,15226
355563,LGA,17173
545261,LGA,14266
545651,LGA,22948
550653,LGA,18494
552502,LGA,15957
552519,LGA,21593
552639,LGA,11202
456578,LGA,16438
463042,LGA,15460
465706,LGA,12652
373618,LGA,12121
385824,LGA,19956
386744,LGA,13799
387666,LGA,13895
466277,LGA,11661
466457,LGA,13246
467569,LGA,14525
553872,LGA,12010
553903,LGA,12071
560078,LGA,15586
568661,LGA,10467
467866,LGA,17000
389482,JFK,10123
392948,LGA,12017
394111,JFK,10351
396636,LGA,13432
397034,LGA,16980
569255,EWR,37723
570797,LGA,15676
571564,LGA,22217
573671,LGA,15097
576227,LGA,12567
578267,LGA,15505
479002,LGA,14970
479285,LGA,7619
483414,LGA,15393
487684,LGA,16697
491123,LGA,16420
643328,LGA,15739
644575,EWR,24934
645075,LGA,15904
645693,LGA,6307
646458,LGA,12621
496166,LGA,18104
581488,LGA,11906
582372,LGA,5051
587698,JFK,26822
587740,LGA,16209
590903,LGA,10725
591135,LGA,15492
498052,LGA,11722
499763,LGA,15110
504362,LGA,16536
651375,LGA,15625
651648,LGA,15094
655811,LGA,15100
656281,LGA,23030
658366,LGA,14415
658932,LGA,11183
507393,LGA,15722
597668,LGA,14379
600775,LGA,16491
602070,LGA,10462
512022,LGA,14641
513343,LGA,16129
513688,LGA,16492
514548,LGA,11840
752616,LGA,15205
664047,LGA,15420
666613,LGA,12568
666837,LGA,14977
667502,LGA,16443
669640,LGA,17812
606269,LGA,15779
607781,LGA,11433
611009,LGA,15479
611156,LGA,13205
613528,LGA,11184
753622,LGA,14543
753687,LGA,21048
753991,LGA,14367
754353,LGA,5769
759901,LGA,19446
675793,LGA,17354
680225,LGA,10106
681599,EWR,33569
684991,LGA,12791
690603,LGA,16013
761835,LGA,6146
618916,LGA,15468
634353,LGA,15544
639199,EWR,30364
762015,LGA,11440
762145,LGA,16716
762426,LGA,12685
690934,LGA,16993
695216,LGA,14504
698132,LGA,13285
698298,LGA,15491
765315,LGA,17324
765563,JFK,21551
828130,LGA,17375
828553,LGA,14583
828616,LGA,21087
836720,LGA,7458
837503,LGA,13795
838070,LGA,20913
765569,LGA,15097
767286,LGA,14034
699472,LGA,11996
703971,LGA,23203
704838,LGA,4317
705749,EWR,23372
705997,LGA,19990
707396,LGA,15113
711635,LGA,15900
712127,EWR,22701
840731,LGA,16327
844319,LGA,26646
846854,LGA,14198
847648,LGA,12800
773885,LGA,13631
774791,LGA,6729
776257,LGA,12167
777327,LGA,20008
779838,LGA,13612
783202,LGA,17345
783341,LGA,15486
848718,LGA,23405
850338,LGA,11422
850517,LGA,19066
850712,LGA,16455
850943,LGA,12677
852118,LGA,16205
712260,LGA,17521
713538,LGA,15174
714049,LGA,4318
723709,LGA,11971
727512,LGA,11490
784122,LGA,19044
784124,LGA,18899
736187,LGA,11139
739239,LGA,14964
739242,LGA,15011
740754,LGA,4882
747316,LGA,12570
852632,LGA,20267
853142,LGA,14147
854396,LGA,10273
856918,LGA,17806
857810,LGA,11431
864981,EWR,32614
786685,LGA,12206
787060,LGA,13025
788005,LGA,16143
748118,LGA,11484
749276,LGA,17713
752289,LGA,16413
951365,LGA,10175
951439,LGA,14720
953314,LGA,13600
867020,LGA,11126
873701,LGA,22962
874706,LGA,23503
876355,LGA,11806
794156,LGA,14761
804194,LGA,11682
883480,LGA,12692
886808,LGA,10497
887355,LGA,13219
890794,LGA,5079
890839,LGA,15769
805028,LGA,17066
956412,LGA,16432
958444,LGA,20504
973535,LGA,2209
973653,LGA,12182
975250,LGA,12583
975990,LGA,16476
978386,LGA,6332
805218,LGA,10516
808476,LGA,14470
811238,LGA,10929
813225,LGA,14906
896535,LGA,14128
904060,LGA,14694
909859,LGA,16965
918049,LGA,15094
982038,LGA,14890
982276,LGA,15502
983625,LGA,10449
986727,LGA,10837
990367,LGA,10887
814327,LGA,13297
816888,LGA,16838
817113,LGA,22405
818325,LGA,13130
919830,LGA,15572
921500,LGA,22508
927408,LGA,14348
818481,LGA,13828
990529,LGA,13240
993514,LGA,14348
993575,LGA,14531
993576,LGA,14284
1009883,LGA,17534
1010785,LGA,5332
818518,LGA,12374
819206,LGA,12089
819228,LGA,12354
819893,LGA,13561
819956,LGA,13815
936218,LGA,11176
939657,LGA,11305
940116,EWR,33982
945297,LGA,15798
1138727,LGA,14444
1141120,LGA,19725
1018529,LGA,10464
1023529,LGA,12452
1024647,LGA,20331
1025786,LGA,10241
1026683,LGA,11221
1027808,LGA,14890
825129,LGA,12965
826685,LGA,14222
1380326,LGA,13478
1144861,LGA,16517
1146653,LGA,13601
1150382,LGA,9717
1150869,LGA,13336
1151343,LGA,11803
1155885,LGA,20315
1157522,LGA,11630
1030254,LGA,11828
1035120,LGA,2321
1036498,LGA,6307
1038802,LGA,9535
1040156,LGA,14951
1042806,LGA,7431
1392079,LGA,22312
1392144,LGA,22290
1396458,LGA,15642
1398234,LGA,15131
1401826,LGA,9352
1044731,LGA,24603
1045897,LGA,11907
1049224,LGA,10953
1056445,LGA,13999
1060019,LGA,13501
1063020,LGA,10644
1166947,LGA,15167
1167658,LGA,10715
1187643,LGA,9836
1195260,LGA,23066
1407633,LGA,11368
1072481,LGA,14858
1076324,LGA,6860
1080543,EWR,33732
1087215,LGA,15137
1411811,LGA,16693
1440363,LGA,11281
1205103,LGA,14488
1209921,LGA,20812
1210916,LGA,13853
1213745,LGA,14940
1215122,LGA,12653
1215627,JFK,16261
1220548,JFK,9438
1453998,LGA,16697
1098863,LGA,17472
1100421,LGA,16586
1101035,LGA,16792
1101224,LGA,13994
1102942,LGA,13089
1108309,JFK,22617
1457505,LGA,20235
1461965,LGA,22472
1465446,LGA,10618
1221962,LGA,14764
1245479,LGA,11514
1255828,LGA,16917
1256670,LGA,12794
1258651,LGA,10836
1474752,LGA,11436
1475084,LGA,14997
1117706,LGA,11652
1118031,LGA,15182
1123737,LGA,13725
1126492,LGA,15457
1127770,LGA,10670
1130680,LGA,18740
1131804,LGA,10573
1478946,LGA,14581
1479283,LGA,14714
1480002,LGA,14754
1263964,LGA,11321
1268154,LGA,8051
1278784,LGA,10565
1279234,LGA,22701
1486099,LGA,9731
1491991,LGA,17790
1506985,LGA,10339
1137093,LGA,10670
1137270,LGA,14555
1696381,LGA,10093
1702533,LGA,17219
1702781,LGA,5951
1707850,LGA,23048
1511303,LGA,23495
1281257,LGA,17097
1284776,LGA,18097
1291020,LGA,18781
1294973,LGA,15519
1530386,LGA,15829
1712660,LGA,11855
1717058,LGA,15209
1717226,LGA,21231
1722101,LGA,15160
1724731,LGA,16167
1533652,LGA,14608
1534212,JFK,23985
1549413,LGA,10958
1555491,LGA,12734
1304459,LGA,11919
1305346,LGA,15794
1307095,LGA,16013
1307228,LGA,10377
1307723,LGA,12726
1313711,LGA,23055
1325432,LGA,5770
1731245,LGA,19925
1731365,LGA,13765
1734724,LGA,11145
1735804,LGA,13141
1739847,LGA,13610
1581579,LGA,5566
1591811,LGA,12214
1604488,LGA,12369
1604489,LGA,14606
1606312,LGA,11050
1617443,LGA,11438
1331960,LGA,13881
1332473,JFK,15447
1336223,LGA,14714
1336230,LGA,14676
1342443,LGA,7517
1349187,LGA,22152
1349658,LGA,11843
1617488,LGA,13771
1742654,LGA,14462
1744709,LGA,19648
1745358,LGA,15349
1750248,LGA,11231
1750679,LGA,22417
1753671,LGA,10756
1754876,LGA,20481
1755844,LGA,21070
1621235,LGA,14047
1623431,LGA,13267
1628156,JFK,15928
1634856,LGA,11623
1640995,LGA,14420
1645181,LGA,21201
1766846,LGA,14694
1776732,LGA,13726
1780748,LGA,13112
1354973,LGA,19512
1355654,LGA,15812
1357021,LGA,13512
1359130,LGA,16786
1361017,LGA,17540
1918693,LGA,14893
1645667,LGA,15231
1649957,LGA,11240
1652236,LGA,15047
1654929,LGA,25632
1655550,LGA,14873
1656585,LGA,16126
1656621,LGA,13010
1793091,LGA,15174
1793104,LGA,12209
1797025,LGA,22611
1798500,LGA,17283
1668328,LGA,12332
1921859,LGA,4801
1925224,LGA,11324
1932110,LGA,14998
1934804,LGA,13883
1669149,LGA,15077
1670517,LGA,14309
1672977,LGA,14873
1673040,LGA,14873
1688914,LGA,11362
1809547,LGA,10583
1826701,LGA,12688
1831227,LGA,11135
2051352,LGA,28806
1935302,LGA,14318
1936633,LGA,20364
1941435,LGA,19923
1941439,LGA,10954
1944155,LGA,15509
1945115,LGA,11835
2053940,LGA,13886
1835367,LGA,14712
1846580,LGA,17751
1855846,LGA,13199
1856027,LGA,15428
1948494,LGA,25200
1952271,LGA,13642
1958765,LGA,10514
2065538,LGA,15539
2069359,LGA,20341
1870228,LGA,7371
1876811,LGA,14415
1881846,LGA,13303
1885714,LGA,11146
1961760,LGA,17299
1971540,LGA,14742
1974700,LGA,11141
1976123,LGA,15843
1979076,LGA,9758
2080861,LGA,13288
2083749,LGA,13617
1979127,LGA,15438
1981590,LGA,11358
1984378,LGA,11263
1984486,LGA,22047
1893225,LGA,15811
1897447,LGA,16943
1901154,LGA,13528
1903198,LGA,7697
1911641,LGA,13388
2165933,LGA,14641
2171821,LGA,11064
2089226,LGA,18888
2092827,LGA,11616
2093064,LGA,14712
1988823,LGA,11158
2000576,LGA,22050
2015168,LGA,14413
2015800,LGA,20567
2017397,LGA,23060
2093304,LGA,14224
2183423,LGA,11079
2194038,LGA,15328
2098030,LGA,21232
2100887,LGA,15305
2019927,LGA,16325
2028291,LGA,5798
2108178,LGA,9992
2111422,LGA,16177
2112142,LGA,15732
2214710,LGA,9768
2115773,LGA,18145
2028677,LGA,10853
2032156,LGA,25033
2041041,LGA,13388
2119582,LGA,16937
2127713,LGA,10916
2134697,LGA,14873
2044889,LGA,11572
2334411,LGA,10555
2338082,LGA,12869
2339096,LGA,15143
2137796,LGA,13994
2254817,LGA,13792
2255549,LGA,15714
2145599,LGA,15864
2151479,LGA,14265
2349737,LGA,7773
2373238,LGA,15667
2385779,LGA,13869
2151558,LGA,11088
2153153,LGA,11798
2154075,LGA,14082
2155610,LGA,19837
2261367,EWR,36221
2267177,EWR,33260
2607583,LGA,13620
2607741,LGA,13907
2392051,LGA,15643
2400614,LGA,9970
2404708,LGA,12227
2415563,LGA,22869
2619549,LGA,14215
2619802,LGA,14168
2620068,LGA,13921
2281147,LGA,14440
2284670,JFK,22305
2626457,LGA,14162
2629613,LGA,15683
2432622,LGA,11851
2435198,LGA,14205
2440357,LGA,5096
2446430,LGA,18678
2451647,LGA,15546
2454507,LGA,16661
2635078,LGA,16707
2636532,LGA,13558
2291893,LGA,23251
2296024,LGA,19284
2298731,LGA,14566
2303152,LGA,18194
2637533,LGA,5180
2645558,LGA,14443
2461439,LGA,14706
2465699,LGA,11573
2467377,LGA,12472
2468186,LGA,12874
2473861,LGA,10400
2484057,LGA,13410
2485774,LGA,11811
2657331,LGA,15310
2314392,LGA,15573
2314553,LGA,9884
2838331,LGA,10930
2847652,LGA,14504
2847932,LGA,12232
2659732,LGA,10529
2669352,LGA,13966
2508374,JFK,5841
2510394,LGA,10635
2856770,LGA,11719
2863408,LGA,13851
2865117,LGA,18711
2870840,LGA,16031
2677779,LGA,3119
2678075,LGA,14595
2683387,LGA,14190
2684223,LGA,18966
2686412,LGA,15206
2538248,LGA,11111
2700296,LGA,10975
2872353,LGA,14267
2888088,LGA,19459
2889377,LGA,7181
2700596,LGA,10954
2723019,LGA,23883
2563997,LGA,14650
2569808,LGA,11737
2574386,LGA,16221
2922197,LGA,10470
2923381,LGA,17420
2936054,LGA,21213
2939670,LGA,15668
2940007,LGA,14935
2748094,LGA,14847
2942129,LGA,15052
2947668,LGA,3650
2968070,LGA,14660
2578731,JFK,18436
2586556,LGA,18552
2754179,LGA,13590
2976105,LGA,15897
2979097,LGA,13936
2979714,LGA,11425
2781747,LGA,19966
2784311,LGA,14739
3123479,LGA,4175
3145484,LGA,14911
3153464,LGA,16528
3156969,JFK,18350
2786015,LGA,11533
2793834,LGA,13900
2794584,LGA,21027
2987465,LGA,13566
2995000,LGA,16049
2995209,LGA,14141
2999527,LGA,20550
3010664,LGA,15920
3012871,LGA,11459
2794762,LGA,21599
3161739,LGA,14322
3187925,LGA,14479
2806791,LGA,13677
2817967,LGA,14259
2830518,LGA,5662
3043467,LGA,19819
3052426,LGA,24906
3191678,LGA,21196
3198365,LGA,12055
3200522,LGA,19945
3207986,LGA,17292
3068145,LGA,13882
3068852,LGA,13881
3081771,LGA,19063
3083197,LGA,15523
3359510,LGA,9746
3360707,LGA,12511
3364802,LGA,11555
3091425,LGA,15140
3103596,LGA,12187
3111416,LGA,14774
3112284,LGA,5561
3369100,LGA,16384
3225975,LGA,17447
3379914,LGA,11140
3238517,LGA,21486
3247291,LGA,10880
3258196,LGA,12300
3400739,LGA,20865
3543839,LGA,15827
3553768,LGA,17394
3554230,LGA,18235
3556577,LGA,13807
3410516,LGA,11480
3415102,LGA,12656
3271893,LGA,17566
3272201,LGA,17721
3279671,LGA,14790
3563271,LGA,15346
3585452,LGA,10736
3431922,LGA,16087
3445138,LGA,17104
3447238,LGA,16009
3605388,LGA,20301
3605524,LGA,13236
3283409,LGA,19983
3297016,LGA,22819
3301484,LGA,13994
3309982,LGA,15949
3450210,LGA,11822
3458525,LGA,11135
3465604,LGA,15451
3465651,EWR,25385
3469171,EWR,37856
3311834,LGA,13773
3312276,LGA,10981
3323189,LGA,15280
3339273,LGA,14803
3339399,LGA,17281
3616173,LGA,17497
3625870,EWR,33592
3626426,LGA,13967
3485449,LGA,15893
3489242,LGA,6712
3490317,LGA,20824
3499016,LGA,4137
3627326,LGA,10959
3636601,LGA,15258
3636967,LGA,9811
3642325,JFK,22430
3344237,LGA,13247
3352608,JFK,23028
3511778,LGA,16719
3512428,LGA,13109
3513052,LGA,11138
3645284,LGA,12993
3652230,JFK,18873
3659544,LGA,15676
3662795,LGA,27040
3738815,LGA,13453
3741728,LGA,13506
3743048,EWR,26386
3749140,JFK,11006
3518682,LGA,16345
3519172,LGA,14489
3522244,LGA,15122
3527764,LGA,5686
3529500,LGA,16043
3663984,LGA,13559
3670659,LGA,15092
3677436,LGA,20807
3678796,LGA,15357
3530122,LGA,11315
3530517,LGA,15862
3752069,LGA,10486
3758296,LGA,11639
3760029,LGA,6153
3760824,LGA,11583
3765095,LGA,18825
3678829,LGA,17331
3685704,LGA,13574
3542523,LGA,12258
3767156,LGA,18584
3769052,LGA,15380
3779230,LGA,13946
3780113,LGA,10549
3922417,LGA,15234
3923128,LGA,13553
3689140,LGA,17483
3939535,JFK,10028
3783021,LGA,14205
3785438,LGA,15150
3791244,LGA,17260
3791325,LGA,13664
3793161,LGA,4746
3803622,LGA,16381
3710685,LGA,6860
3713233,LGA,20034
3715638,LGA,11569
4070025,LGA,15528
4074248,LGA,11397
3945636,LGA,5306
3817666,LGA,15079
3835681,LGA,4725
3838375,LGA,12791
3953314,LGA,15829
4081707,EWR,37838
4110645,EWR,31163
4121363,LGA,10155
3953415,LGA,15710
3962389,JFK,21817
3963635,LGA,21031
3839717,LGA,6131
3848105,LGA,19543
3850493,JFK,21855
3851911,LGA,15575
3968434,LGA,13455
4126676,LGA,14781
4128337,LGA,20849
4128428,LGA,13081
4132116,LGA,26739
4134035,LGA,15468
3979611,LGA,10130
3852261,JFK,18380
3852538,LGA,15511
3866888,LGA,13224
