id,bus_stop,w_distance
36121.0,WASHINGTON AV/STERLING PL,433
36647.0,2 AV/E 111 ST,168
38663.0,DEAN ST/3 AV,147
38833.0,SAINT NICHOLAS AV/W 137 ST,78
39282.0,GRAND ST/UNION AV,51
39572.0,W 49 ST/9 AV,196
6848.0,S 4 ST/HOOPER ST,158
6872.0,MADISON AV/E 118 ST,148
6990.0,3 AV/E 99 ST,36
7097.0,MYRTLE AV/CARLTON AV,297
7801.0,BEDFORD AV/N 9 ST,54
8490.0,MARCUS GARVEY BLVD/JEFFERSON AV,143
93313.0,MARCUS GARVEY BLVD/JEFFERSON AV,39
94783.0,STERLING PL/BEDFORD AV,189
96471.0,GREENE AV/WASHINGTON AV,221
98663.0,8 AV/W 31 ST,196
100002.0,BROADWAY/W 187 ST,270
100186.0,3 AV/12 ST,56
42300.0,ALLEN ST/DELANCEY ST,119
42729.0,COURT ST/NELSON ST,331
43105.0,MADISON AV/E 29 ST,64
44229.0,MYRTLE AV/VANDERBILT AV,61
44973.0,S 4 ST/HEWES ST,194
9357.0,9 AV/W 55 ST,110
10452.0,PUTNAM AV/FRANKLIN AV,51
12940.0,BEDFORD AV/ATLANTIC AV,178
14314.0,MANHATTAN AV/EAGLE ST,97
15341.0,BOWERY/SPRING ST,62
15385.0,BEDFORD AV/S 4 ST,134
16580.0,E 10 ST/AVENUE D,166
45910.0,FOREST AV/69 AV,197
45935.0,E 138 ST/WILLIS AV,472
45936.0,AMSTERDAM AV/W 116 ST,382
103555.0,MYRTLE AV/CARLTON AV,59
105469.0,VAN WYCK SOUTH SERVICE RD/BUILDING 90,15047
106363.0,RIVERSIDE DR/W 145 ST,575
106647.0,CLASSON AV/GATES AV,191
107630.0,MANHATTAN AV/CALYER ST,193
112435.0,MYRTLE AV/CARLTON AV,335
113265.0,ROGERS AV/ST MARKS AV,136
115535.0,BROADWAY/W 142 ST,58
46911.0,FLATBUSH AV/SAINT MARKS AV,57
49048.0,PUTNAM AV/FRANKLIN AV,68
16821.0,AVENUE A/EAST HOUSTON ST,112
16974.0,3 AV/E 121 ST,126
17037.0,AVENUE C/E 5 ST,76
18152.0,E 79 ST/EAST END AV,188
18728.0,9 AV/W 18 ST,96
19174.0,W 14 ST/8 AV,51
19282.0,OCEAN AV/PARKSIDE AV,98
52689.0,ASTORIA BLVD/STEINWAY ST,1393
53469.0,75 PL/65 DR,160
115748.0,21 ST/30 AV,973
118061.0,MALCOLM X BLVD/HALSEY ST,71
125163.0,MALCOLM X BLVD/PUTNAM AV,138
135465.0,FULTON ST/SOUTH ELLIOT PL,40
136493.0,7 AV/UNION ST,280
53470.0,67 AV/FRESH POND RD,275
53477.0,FURMANVILLE AV/77 PL,192
54466.0,MANHATTAN AV/W 113 ST,143
54508.0,FLATBUSH AV/SAINT MARKS AV,102
54544.0,ADAM C POWELL BLVD/W 130 ST,23
54860.0,E 116 ST/PARK AV,75
21794.0,8 AV/W 17 ST,147
23135.0,MILL ST/CLINTON ST,313
23545.0,W 145 ST/RIVERSIDE DR,180
24285.0,7 AV/3 ST,174
26785.0,5 AV/11 ST,81
27883.0,AVENUE A/E 5 ST,94
55959.0,GRAND ST/UNION AV,52
56859.0,ADAM C POWELL BLVD/W 131 ST,139
57166.0,ASTORIA BLVD/STEINWAY ST,496
57297.0,ATLANTIC AV/CLINTON ST,85
140133.0,DRIGGS AV/GRAND ST,39
141335.0,7 AV/UNION ST,126
144087.0,FREDERICK DOUGLASS BLVD/W 121 ST,79
146726.0,MALCOLM X BLVD/W 119 ST,60
148259.0,GRAHAM AV/AINSLIE ST,126
148825.0,W 106 ST/COLUMBUS AV,160
150804.0,EAST HOUSTON ST/CLINTON ST,148
57874.0,5 AV/W 128 ST,106
58059.0,W 145 ST/SAINT NICHOLAS AV,56
59014.0,ESSEX ST/RIVINGTON ST,143
28907.0,YORK AV/E 88 ST,154
29013.0,FRANKLIN AV/PUTNAM AV,4
29628.0,FULTON ST/WASHINGTON AV,73
31130.0,W 57 ST/9 AV,107
31994.0,GREENE AV/GRAND AV,256
33009.0,DRIGGS AV/N 4 ST,65
59121.0,FOREST AV/69 AV,190
60611.0,E 106 ST/LEXINGTON AV,8
151199.0,ASTORIA BLVD SOUTH/STEINWAY ST,1439
152263.0,ADAM C POWELL BLVD/W 119 ST,102
157673.0,THROOP AV/MACDONOUGH ST,94
158061.0,HALSEY ST/HOWARD AV,113
166006.0,W 106 ST/COLUMBUS AV,51
60666.0,MALCOLM X BLVD/W 127 ST,235
34760.0,DE KALB AV/SOUTH PORTLAND AV,303
212109.0,GREENWICH ST/HORATIO ST,198
213330.0,ESSEX ST/GRAND ST,54
216080.0,DE KALB AV/SOUTH PORTLAND AV,244
218358.0,ADAM C POWELL BLVD/W 120 ST,91
219066.0,18 AV/66 ST,191
219922.0,AMSTERDAM AV/W 131 ST,60
60680.0,E 10 ST/AVENUE B,150
61406.0,FREDERICK DOUGLASS BLVD/114 ST,103
62925.0,MANHATTAN AV/GREENPOINT AV,156
63588.0,WHITE PLAINS RD/OBRIEN AV,88
63610.0,BOSTON RD/BOLLER AV,191
168123.0,19 ST/8 AV,91
169483.0,KINGS HWY/E 4 ST,225
170761.0,FULTON ST/ASHLAND PL,221
173151.0,GREENPOINT AV/FRANKLIN ST,233
174966.0,W 66 ST/WEST END AV,178
176135.0,CLASSON AV/STERLING PL,173
223930.0,FLATBUSH AV/GRAND ARMY PLAZA,144
225354.0,BROADWAY/WYTHE AV,35
225976.0,TOMPKINS AV/BELAIR RD,298
226021.0,GRAND ST/GRAHAM AV,168
227495.0,W 86 ST/COLUMBUS AV,184
228317.0,RALPH AV/JEFFERSON AV,152
64314.0,BERGEN ST/NOSTRAND AV,94
64365.0,BERGEN ST/NOSTRAND AV,98
66008.0,SMITH ST/UNION ST,227
66251.0,1 AV /E 4 ST,102
177606.0,1 AV/E 29 ST,88
179670.0,EAST HOUSTON ST/AV C,37
180201.0,DRIGGS AV/GRAND ST,93
182069.0,3 AV/E 102 ST,143
66275.0,BOWERY/KENMARE ST,41
66974.0,SMITH ST/UNION ST,262
233638.0,GATES AV/CYPRESS AV,216
235552.0,7 AV/15 ST,121
235951.0,3 AV/E 47 ST,132
235960.0,EAST HOUSTON ST/CLINTON ST,60
67299.0,WYTHE AV/GRAND ST,75
68735.0,AMSTERDAM AV/W 86 ST,77
68974.0,BOWERY/KENMARE ST,95
190974.0,7 AV/9 ST,203
191610.0,W 23 ST/9 AV,24
195123.0,AMSTERDAM AV/W 158 ST,160
195240.0,CLARKSON AV/BEDFORD AV,124
195989.0,5 AV/UNION ST,136
69894.0,W 72 ST/BROADWAY,215
245544.0,UNIVERSITY AV/W 192 ST,204
245574.0,LAFAYETTE AV/BEDFORD AV,22
248865.0,pulaski br/box st,182
248966.0,MYRTLE AV/CHARLES PL,305
249704.0,GRAND ST/BUSHWICK AV,256
249867.0,HALSEY ST/SARATOGA AV,131
71366.0,6 AV/W 3 ST,112
199733.0,CLASSON AV/PROSPECT PL,158
201992.0,5 AV/UNION ST,366
204065.0,GREENE AV/GRAND AV,48
205485.0,HALSEY ST/THROOP AV,159
206957.0,SHORE PKWY/E 28 ST,42
75635.0,BOWERY/HESTER ST,209
75658.0,MYRTLE AV/WALWORTH ST,120
250536.0,ADAM C POWELL BLVD/W 129 ST,154
251277.0,COLUMBUS AV/W 84 ST,213
253332.0,5 AV/18 ST,139
253466.0,pulaski br/box st,182
253471.0,pulaski br/box st,182
253475.0,pulaski br/box st,182
253800.0,pulaski br/box st,182
77765.0,pulaski br/box st,192
79067.0,FULTON ST/SAINT JAMES PL,208
80493.0,AVENUE A/EAST HOUSTON ST,75
208889.0,MALCOLM X BLVD/GREENE AV,149
209310.0,GREENPOINT AV/40 ST,144
274743.0,1 AV/E 82 ST,114
276021.0,BROADWAY/WYTHE AV,172
276317.0,FLATBUSH AV/PARK PL,93
277883.0,CLARKSON AV/ROGERS AV,80
253803.0,pulaski br/box st,182
253806.0,pulaski br/box st,182
253811.0,pulaski br/box st,182
253846.0,pulaski br/box st,182
255476.0,BORINQUEN PL/S 1 ST,93
255601.0,LAFAYETTE AV/NOSTRAND AV,250
82638.0,AVENUE C/E 6 ST,271
82928.0,TOMPKINS AV/PUTNAM AV,69
83243.0,BROADWAY/JEFFERSON AV,74
83474.0,FULTON ST/HOYT ST,75
281851.0,FREDERICK DOUGLASS BLVD/W 121 ST,138
286662.0,SAINT JOHNS PL/BEDFORD AV,90
287408.0,10 AV/W 45 ST,30
287845.0,SMITH ST/2 ST,36
84010.0,pulaski br/box st,192
89427.0,GREENE AV/WASHINGTON AV,221
400078.0,THROOP AV/HART ST,103
255957.0,BOWERY/KENMARE ST,60
257097.0,FRANKLIN AV/PUTNAM AV,84
260755.0,WEST BROADWAY/DUANE ST,102
409262.0,BERGEN ST/HOYT ST,155
292121.0,9 AV/W 52 ST,185
292800.0,W 10 ST/7 AV S,29
294227.0,pulaski br/box st,192
294242.0,pulaski br/box st,192
294259.0,pulaski br/box st,192
294263.0,pulaski br/box st,192
411918.0,KINGSTON AV/SAINT JOHNS PL,132
413504.0,GRAHAM AV/AINSLIE ST,56
416557.0,GRAHAM AV/DRIGGS AV,151
294280.0,pulaski br/box st,192
295998.0,COLUMBUS AV/W 94 ST,74
296717.0,LAFAYETTE AV/BEDFORD AV,184
298759.0,NOSTRAND AV/PUTNAM AV,231
301034.0,MANHATTAN AV/W 119 ST,60
263232.0,SAINT NICHOLAS AV/W 142 ST,283
263888.0,RIVERSIDE DR/W 94 ST,705
266449.0,DELANCEY ST/ESSEX ST,138
266753.0,ALLEN ST/DELANCEY ST,79
417685.0,PROSPECT PARK WEST/9 ST,97
424767.0,LEXINGTON AV/E 28 ST,127
425423.0,HUTCHINSON RIVER PKWY EAST/EINSTEIN LOOP NORTH,285
267652.0,CHURCH AV/OCEAN PKWY,322
268335.0,WYTHE AV/N 12 ST,154
268439.0,JOHNSON AV/HUMBOLDT ST,114
269283.0,EMPIRE BLVD/UTICA AV,8
269404.0,ASTORIA BLVD SOUTH/STEINWAY ST,259
270139.0,FLUSHING AV/KNICKERBOCKER AV,141
270231.0,GREENPOINT AV/47 ST,619
270345.0,BOWERY/BLEECKER ST,48
431865.0,EDGECOMBE AV/W 160 ST,102
302238.0,W 125 ST/ADAM C POWELL BLVD,213
302280.0,MALCOLM X BLVD/W 122 ST,65
302309.0,MALCOLM X BLVD/W 122 ST,49
302705.0,3 AV/E 77 ST,26
302758.0,1 AV/E 116 ST,150
303264.0,MALCOLM X BLVD/W 125 ST,59
305245.0,MALCOLM X BLVD/W 122 ST,85
310325.0,W 145 ST/CONVENT AV,169
310338.0,SAINT NICHOLAS AV/W 144 ST,219
432823.0,7 AV/BERKELEY PL,242
433414.0,GREENE AV/VANDERBILT AV,120
433914.0,SUTTER AV/ESSEX ST,221
437352.0,9 ST/4 AV,213
272026.0,BROADWAY/W 207 ST,20
518566.0,LEXINGTON AV/E 74 ST,63
519310.0,GREENPOINT AV/47 ST,571
523123.0,15 ST/8 AV,216
528485.0,5 AV/PROSPECT AV,260
530576.0,AMSTERDAM AV/W 77 ST,190
439750.0,WOODPOINT RD/CONSELYEA ST,111
310524.0,MYRTLE AV/CLASSON AV,186
314982.0,E 14 ST/3 AV,197
318021.0,W 116 ST/SAINT NICHOLAS AV,133
321136.0,W 155 ST/BROADWAY,133
322037.0,BEDFORD AV/N 8 ST,168
439870.0,7 AV/6 ST,190
442636.0,MYRTLE AV/SENECA AV,249
443646.0,AMSTERDAM AV/W 89 ST,122
447766.0,3 AV/E 24 ST,143
448011.0,LAFAYETTE AV/WASHINGTON AV,171
325429.0,1 AV/E 82 ST,101
332208.0,MANHATTAN AV/MESEROLE AV,58
333323.0,10 AV/W 47 ST,86
336055.0,HUTCHINSON RIVER PKWY EAST/EINSTEIN LOOP NORTH,290
532288.0,6 AV/WAVERLY PL,90
533506.0,AVENUE A/E 11 ST,99
536578.0,WYCKOFF AV/BLEECKER ST,95
538465.0,FORT WASHINGTON AV/CABRINI BLVD,2496
540057.0,BROADWAY/W 140 ST,46
541725.0,WYTHE AV/N 9 ST,95
542054.0,AVENUE A/E 11 ST,99
543792.0,DE KALB AV/SENECA AV,365
