숙소id,지하철id,도보거리(m)
36121,238,469
36647,623,505
38663,R31,188
38833,A14,137
39282,G29,252
39572,A25,350
6848,M14,358
6872,622,404
6990,624,418
7097,G36,647
7801,L08,281
8490,A47,681
93313,A47,771
94783,S03,316
96471,A44,217
98663,A28,413
100002,110,374
100186,F23,343
42300,M19,203
42729,F21,712
43105,633,309
44229,G35,811
44973,M14,322
9357,125,579
10452,A45,292
12940,S01,252
14314,G26,497
15341,M19,138
15385,M16,786
16580,L06,1268
45910,M05,430
45935,618,384
45936,117,663
103555,G36,998
105469,H12,312
106363,114,714
106647,G34,330
107630,G26,554
112435,G36,671
113265,A46,699
115535,115,270
46911,236,92
49048,A45,275
16821,F14,495
16974,621,321
17037,L06,1258
18152,Q04,1360
18728,A31,321
19174,L01,81
19282,D27,159
52689,R01,683
53469,M01,1324
115748,R04,384
118061,A48,821
125163,A48,916
135465,G36,96
136493,R32,543
53470,M04,372
53477,M01,1605
54466,A17,323
54508,236,273
54544,225,641
54860,622,105
21794,A31,185
23135,F22,717
23545,114,294
24285,F24,756
26785,R33,368
27883,F14,563
55959,G29,252
56859,224,498
57166,R01,724
57297,423,492
140133,L08,567
141335,D25,591
144087,A16,252
146726,226,288
148259,L11,276
148825,A18,675
150804,M18,467
57874,621,607
58059,A12,139
59014,M18,182
28907,Q04,596
29013,A45,314
29628,A44,193
31130,125,351
31994,G35,256
33009,L08,370
59121,M05,483
60611,624,262
151199,G18,190
152263,226,421
157673,A47,155
158061,J29,347
166006,A18,417
60666,225,370
34760,G36,645
212109,L01,561
213330,F15,282
216080,G36,586
218358,A16,422
219066,N05,371
219922,116,450
60680,L06,808
61406,A16,212
62925,G26,252
63588,608,2693
63610,502,791
168123,F25,687
169483,F35,467
170761,G36,321
173151,G26,536
174966,124,391
176135,S03,316
223930,237,460
225354,M16,828
225976,S28,1542
226021,L11,573
227495,121,344
228317,J30,696
64314,A46,656
64365,A46,608
66008,F21,196
66251,F14,523
177606,632,1110
179670,M18,757
180201,L08,471
182069,624,166
66275,M19,52
66974,F21,442
233638,M06,262
235552,F24,673
235951,630,496
235960,M18,534
67299,L08,927
68735,121,171
68974,M19,165
190974,F24,375
191610,A30,372
195123,113,156
195240,D27,458
195989,R32,127
69894,123,129
245544,406,387
245574,G33,186
248865,721,855
248966,M10,387
249704,L12,223
249867,J29,295
71366,A32,302
199733,S03,384
201992,R32,572
204065,G34,328
205485,A47,504
206957,D39,1336
75635,D22,279
75658,G32,623
250536,225,536
251277,121,438
253332,R34,622
253466,721,855
253471,721,855
253475,721,855
253800,721,855
77765,721,865
79067,A44,378
80493,F14,458
208889,J31,585
209310,715,706
274743,Q04,405
276021,M16,728
276317,D25,101
277883,243,446
253803,721,855
253806,721,855
253811,721,855
253846,721,855
255476,G29,309
255601,G33,393
82638,L06,969
82928,A47,767
83243,J29,226
83474,R29,143
281851,A15,401
286662,239,371
287408,A27,827
287845,F21,129
84010,721,865
89427,A44,217
400078,G32,560
255957,M19,71
257097,A45,339
260755,137,195
409262,F20,153
292121,A25,260
292800,133,118
294227,721,865
294242,721,865
294259,721,865
294263,721,865
411918,249,286
413504,L11,236
416557,G28,652
294280,721,865
295998,120,504
296717,G33,294
298759,A46,667
301034,A16,261
263232,A12,409
263888,120,994
266449,F15,149
266753,F15,182
417685,F24,279
424767,633,179
425423,601,2467
267652,F27,767
268335,L08,653
268439,L13,193
269283,250,748
269404,R03,916
270139,L15,586
270231,713,143
270345,F14,326
431865,A10,247
302238,225,249
302280,225,301
302309,225,334
302705,627,173
302758,622,502
303264,225,64
305245,225,387
310325,A12,387
310338,A12,259
432823,D25,545
433414,G35,349
433914,A54,166
437352,F23,221
272026,A02,121
518566,627,300
519310,713,111
523123,F25,422
528485,R34,494
530576,122,481
439750,L11,216
310524,G34,785
314982,L05,263
318021,A16,400
321136,113,251
322037,L08,321
439870,F24,534
442636,L19,505
443646,121,454
447766,633,601
448011,G35,277
325429,Q04,440
332208,G28,210
333323,A27,921
336055,601,2493
532288,A32,142
533506,L06,327
536578,M08,440
538465,A05,2504
540057,115,190
541725,L08,528
542054,L06,327
543792,L16,897
449660,F26,624
450577,A22,192
453094,G35,258
455734,A02,477
456190,133,440
342995,224,163
343276,A28,623
343766,G19,117
344082,A28,530
351859,129,233
352651,242,417
353317,F16,132
355563,F20,249
545261,G35,185
545651,242,258
550653,F25,466
552502,S01,491
552519,249,642
552639,A14,125
456578,A06,199
463042,R22,134
465706,A18,495
373618,L08,365
385824,106,2053
386744,Q03,160
387666,A10,160
466277,L10,561
466457,M11,1274
467569,M18,462
553872,A12,508
553903,A12,328
560078,L06,1131
568661,L15,301
467866,134,451
389482,F05,672
392948,M14,208
394111,F05,575
396636,A11,171
397034,122,509
569255,F21,1770
570797,A27,633
571564,248,739
573671,G33,597
576227,115,143
578267,F16,490
479002,A43,373
479285,714,755
483414,A46,705
487684,F20,183
491123,238,459
643328,238,725
644575,S29,836
645075,A25,575
645693,G19,336
646458,L08,1260
496166,F24,534
581488,L08,699
582372,R03,766
587698,F35,318
587740,A34,216
590903,225,318
591135,D21,179
498052,L08,510
499763,A25,305
504362,D25,200
651375,D21,56
651648,A44,229
655811,F16,252
656281,F27,281
658366,L05,271
658932,L19,598
507393,A46,811
597668,A47,555
600775,D25,327
602070,G28,404
512022,M18,689
513343,237,279
513688,234,338
514548,M10,256
752616,F16,315
664047,124,548
666613,M16,547
666837,D22,265
667502,A06,96
669640,R32,451
606269,A27,724
607781,624,186
611009,L06,843
611156,D12,483
613528,A14,143
753622,L05,239
753687,A47,246
753991,A47,992
754353,R06,266
759901,504,979
675793,133,218
680225,L16,982
681599,R36,724
684991,632,468
690603,A46,651
761835,R05,671
618916,A44,529
634353,124,454
639199,S11,1226
762015,M10,450
762145,122,264
762426,A18,405
690934,236,203
695216,G35,667
698132,M11,826
698298,638,118
765315,M16,483
765563,F01,7030
828130,D26,112
828553,L05,124
828616,250,501
836720,701,2954
837503,G34,469
838070,R34,484
765569,R29,677
767286,120,189
699472,M14,401
703971,243,187
704838,G15,216
705749,S26,832
705997,R34,805
707396,L06,842
711635,636,378
712127,S26,1162
840731,636,261
844319,D32,447
846854,A20,319
847648,A12,417
773885,G31,372
774791,701,772
776257,L08,318
777327,D30,21
779838,119,371
783202,133,141
783341,M18,526
848718,D26,649
850338,L11,244
850517,J29,444
850712,A32,416
850943,M16,837
852118,S03,184
712260,F21,236
713538,A44,502
714049,G15,175
723709,A17,466
727512,721,855
784122,A50,579
784124,J28,446
736187,G28,319
739239,121,463
739242,121,526
740754,R03,510
747316,A17,337
852632,R34,421
853142,A10,207
854396,L15,383
856918,R32,274
857810,L10,352
864981,R39,168
786685,114,578
787060,632,286
788005,237,294
748118,721,875
749276,L19,474
752289,A33,372
951365,L16,885
951439,A21,347
953314,633,74
867020,G26,545
873701,239,154
874706,F26,970
876355,116,298
794156,124,283
804194,L13,63
883480,118,403
886808,701,2329
887355,723,1012
890794,710,608
890839,A44,497
805028,R31,314
956412,F18,148
958444,601,4618
973535,G15,2436
973653,301,875
975250,J30,253
975990,231,388
978386,G19,348
805218,G26,284
808476,113,635
811238,225,296
813225,G36,702
896535,A20,217
904060,G34,409
909859,237,640
918049,D19,194
982038,A43,506
982276,F16,481
983625,225,347
986727,225,519
990367,225,414
814327,Q03,961
816888,A05,595
817113,248,490
818325,632,700
919830,A30,66
921500,248,205
927408,G35,240
818481,115,291
990529,723,428
993514,A20,450
993575,121,335
993576,121,316
1009883,F20,483
1010785,R05,476
818518,115,230
819206,624,433
819228,115,185
819893,115,162
819956,A48,782
936218,A15,205
939657,225,439
940116,R39,228
945297,L06,255
1138727,R14,297
1141120,J30,333
1018529,L10,689
1023529,115,139
1024647,402,382
1025786,G24,233
1026683,222,346
1027808,M18,819
825129,A18,311
826685,A47,593
1380326,Q03,306
1144861,F20,317
1146653,A19,193
1150382,622,477
1150869,118,305
1151343,A16,251
1155885,A48,861
1157522,L08,251
1030254,M08,697
1035120,G15,2231
1036498,G19,336
1038802,L11,1314
1040156,130,107
1042806,701,1398
1392079,249,432
1392144,248,391
1396458,238,738
1398234,M19,260
1401826,715,341
1044731,244,638
1045897,L08,199
1049224,224,410
1056445,R13,455
1060019,627,312
1063020,623,236
1166947,110,460
1167658,G26,252
1187643,619,501
1195260,245,1590
1407633,A15,334
1072481,130,25
1076324,714,333
1080543,R39,912
1087215,A30,265
1411811,133,343
1440363,A14,134
1205103,G36,952
1209921,A48,793
1210916,630,875
1213745,121,335
1215122,115,235
1215627,H07,67
1220548,J12,772
1453998,G36,195
1098863,L20,887
1100421,F20,236
1101035,A42,129
1101224,A47,1162
1102942,632,660
1108309,D39,1196
1457505,250,796
1461965,249,849
1465446,225,453
1221962,D18,188
1245479,L13,228
1255828,122,231
1256670,Q04,163
1258651,225,471
1474752,M16,606
1475084,F15,240
1117706,L08,512
1118031,638,102
1123737,113,97
1126492,A43,238
1127770,L10,376
1130680,J28,480
1131804,225,336
1478946,A28,351
1479283,129,432
1480002,M19,223
1263964,A15,359
1268154,M01,2266
1278784,615,245
1279234,248,399
1486099,L11,1072
1491991,R32,429
1506985,622,639
1137093,L10,376
1137270,121,172
1696381,622,385
1702533,R31,193
1702781,R05,632
1707850,243,309
1511303,242,288
1281257,230,146
1284776,F21,325
1291020,F23,345
1294973,120,330
1530386,L01,50
1712660,M14,170
1717058,638,75
1717226,A47,421
1722101,124,840
1724731,L01,795
1533652,A21,251
1534212,D39,1031
1549413,226,149
1555491,Q04,327
1304459,G30,418
1305346,638,216
1307095,L06,96
1307228,L15,80
1307723,118,128
1313711,243,134
1325432,711,540
1731245,A49,895
1731365,A19,282
1734724,L08,351
1735804,J31,467
1739847,611,1255
1581579,R01,602
1591811,L13,460
1604488,L08,730
1604489,129,160
1606312,L08,495
1617443,224,379
1331960,G31,526
1332473,F01,4631
1336223,129,432
1336230,129,378
1342443,715,222
1349187,A46,638
1349658,116,523
1617488,G34,486
1742654,125,323
1744709,A49,172
1745358,A25,480
1750248,226,494
1750679,248,128
1753671,623,309
1754876,A49,557
1755844,250,656
1621235,G32,392
1623431,723,622
1628156,L29,751
1634856,L08,244
1640995,Q03,330
1645181,A48,405
1766846,L05,414
1776732,A20,488
1780748,723,735
1354973,J29,334
1355654,L06,510
1357021,F11,252
1359130,A05,135
1361017,R33,680
1918693,G34,459
1645667,G33,714
1649957,A15,431
1652236,G33,530
1654929,246,636
1655550,A25,551
1656585,R22,540
1656621,M11,932
1793091,A22,160
1793104,A12,388
1797025,248,309
1798500,601,1783
1668328,L13,364
1921859,R04,388
1925224,L08,371
1932110,F14,214
1934804,G35,578
1669149,A25,333
1670517,L05,405
1672977,A25,551
1673040,A25,551
1688914,A14,157
1809547,226,389
1826701,115,271
1831227,224,555
2051352,F27,275
1935302,G35,688
1936633,601,4478
1941435,A49,585
1941439,623,410
1944155,G36,219
1945115,A16,287
2053940,G35,1217
1835367,129,430
1846580,F24,393
1855846,114,282
1856027,F14,617
1948494,246,407
1952271,119,221
1958765,L11,192
2065538,S03,443
2069359,A48,380
1870228,G20,142
1876811,634,464
1881846,F11,459
1885714,L17,606
1961760,F21,477
1971540,125,547
1974700,224,154
1976123,F14,507
1979076,G28,1061
2080861,M11,1107
2083749,119,302
1979127,F14,591
1981590,M08,152
1984378,L14,548
1984486,249,465
1893225,236,430
1897447,A42,717
1901154,A12,438
1903198,715,955
1911641,F11,188
2165933,126,26
2171821,L17,93
2089226,D28,383
2092827,L10,387
2093064,129,429
1988823,224,473
2000576,249,449
2015168,G33,599
2015800,R36,227
2017397,241,534
2093304,G35,878
2183423,224,142
2194038,A43,291
2098030,A47,392
2100887,638,177
2019927,A03,467
2028291,R06,237
2108178,G28,1014
2111422,A06,379
2112142,A46,713
2214710,G28,1065
2115773,R33,881
2028677,224,49
2032156,R28,920
2041041,Q03,184
2119582,229,574
2127713,224,305
2134697,A25,551
2044889,L08,456
2334411,225,318
2338082,119,472
2339096,F16,227
2137796,A48,822
2254817,Q03,343
2255549,131,223
2145599,A25,607
2151479,A47,869
2349737,G11,292
2373238,A27,382
2385779,M11,1235
2151558,G26,298
2153153,L13,111
2154075,G32,828
2155610,A49,499
2261367,D43,2694
2267177,R36,424
2607583,Q03,435
2607741,Q03,254
2392051,M18,519
2400614,L11,724
2404708,L08,732
2415563,239,398
2619549,627,375
2619802,Q03,365
2620068,Q03,239
2281147,D14,207
2284670,247,1679
2626457,119,127
2629613,132,59
2432622,G28,437
2435198,608,1257
2440357,R01,476
2446430,F24,827
2451647,L06,1157
2454507,229,181
2635078,G36,326
2636532,Q03,364
2291893,242,588
2296024,106,2167
2298731,726,541
2303152,F24,443
2637533,R01,660
2645558,L05,260
2461439,F15,364
2465699,227,104
2467377,701,6334
2468186,A18,238
2473861,225,150
2484057,M16,303
2485774,L11,227
2657331,A44,333
2314392,123,198
2314553,G28,1166
2838331,G28,138
2847652,113,550
2847932,Q05,329
2659732,G28,466
2669352,119,393
2508374,F01,5693
2510394,721,377
2856770,Q05,105
2863408,Q03,301
2865117,F24,569
2870840,A07,615
2677779,708,435
2678075,A47,555
2683387,R14,80
2684223,A50,487
2686412,A44,358
2538248,224,136
2700296,A15,360
2872353,627,413
2888088,D29,311
2889377,701,1158
2700596,A15,559
2723019,243,547
2563997,A44,350
2569808,M16,370
2574386,L01,564
2922197,G26,274
2923381,A02,365
2936054,139,584
2939670,J17,602
2940007,M18,358
2748094,635,203
2942129,J16,393
2947668,709,479
2968070,A27,200
2578731,H12,487
2586556,J28,162
2754179,Q03,453
2976105,S03,310
2979097,Q03,284
2979714,226,332
2781747,F21,617
2784311,M18,779
3123479,R03,135
3145484,G33,598
3153464,238,209
3156969,H13,388
2786015,A14,226
2793834,A19,415
2794584,A47,186
2987465,Q03,478
2995000,A47,646
2995209,Q03,391
2999527,420,232
3010664,238,690
3012871,L08,176
2794762,A47,483
3161739,G32,290
3187925,G36,765
2806791,A11,319
2817967,627,419
2830518,G19,700
3043467,R28,608
3052426,D27,662
3191678,101,1114
3198365,A17,285
3200522,A49,614
3207986,F20,214
3068145,Q03,261
3068852,Q03,275
3081771,A50,585
3083197,L06,799
3359510,G28,954
3360707,115,367
3364802,L17,259
3091425,L06,1129
3103596,A14,705
3111416,M18,383
3112284,701,620
3369100,236,201
3225975,F20,435
3379914,M06,520
3238517,A47,295
3247291,224,322
3258196,L08,184
3400739,250,326
3543839,409,481
3553768,133,232
3554230,D27,182
3556577,A10,172
3410516,G29,238
3415102,M16,840
3271893,R32,44
3272201,133,673
3279671,A28,555
3563271,A45,318
3585452,225,511
3431922,109,248
3445138,D25,794
3447238,S03,421
3605388,251,535
3605524,632,808
3283409,J30,375
3297016,239,141
3301484,119,445
3309982,A46,295
3450210,A16,275
3458525,224,292
3465604,A43,92
3465651,S18,518
3469171,F22,2088
3311834,J31,1153
3312276,222,529
3323189,D22,325
3339273,A30,573
3339399,133,419
3616173,F21,384
3625870,R39,467
3626426,Q03,327
3485449,409,186
3489242,712,1474
3490317,A48,583
3499016,R01,752
3627326,222,69
3636601,A30,343
3636967,G28,1147
3642325,D39,1837
3344237,R11,356
3352608,D35,942
3511778,R21,300
3512428,114,261
3513052,L15,408
3645284,B08,774
3652230,H12,179
3659544,A25,807
3662795,D33,329
3738815,724,435
3741728,A47,1032
3743048,S31,539
3749140,A60,636
3518682,109,487
3519172,G35,510
3522244,A45,372
3527764,711,1143
3529500,A47,645
3663984,627,249
3670659,A45,435
3677436,D31,386
3678796,A46,440
3530122,224,702
3530517,R23,110
3752069,L15,300
3758296,A16,454
3760029,G18,353
3760824,M10,660
3765095,D27,229
3678829,F24,663
3685704,G32,1126
3542523,L08,971
3767156,J28,217
3769052,410,129
3779230,A47,1484
3780113,225,313
3922417,A30,405
3923128,Q03,304
3689140,133,161
3939535,F05,383
3783021,120,253
3785438,G36,420
3791244,133,398
3791325,G35,783
3793161,G16,415
3803622,640,103
3710685,714,336
3713233,251,597
3715638,624,637
4070025,F18,480
4074248,L11,220
3945636,R04,686
3817666,A25,401
3835681,R03,644
3838375,A18,441
3953314,608,2775
4081707,F22,1732
4110645,R42,331
4121363,621,455
3953415,608,2713
3962389,247,2848
3963635,A47,182
3839717,713,547
3848105,A49,315
3850493,247,2464
3851911,A46,885
3968434,115,56
4126676,125,428
4128337,A47,364
4128428,632,287
4132116,D31,510
4134035,R29,993
3979611,B06,603
3852261,H06,360
3852538,R30,326
3866888,632,443
3985673,726,517
3987571,A46,234
3987599,J29,75
3989564,A47,377
3998977,A18,346
4136252,224,341
4140776,G08,1279
4152752,A25,430
4162119,A44,745
4162292,D31,798
4162519,D30,330
3873451,Q04,363
4010865,A18,70
3889997,A31,68
3891031,229,302
3902156,R30,184
4271877,J30,462
4016142,M18,179
4162667,238,752
4169094,R03,479
4174847,M05,652
4020425,619,215
4025329,224,231
4026150,709,259
4031463,D01,374
4033422,S21,3533
4285522,224,82
4293040,G32,951
4293935,248,559
4033444,250,575
4033521,A49,976
4183424,133,232
4183801,A48,928
4183989,226,344
4198695,D32,888
4037522,G18,849
4038794,113,567
4296710,407,550
4296956,L29,1478
4297952,A30,414
4299536,A45,459
4303600,G33,695
4305170,A44,271
4053517,G28,311
4206034,S30,2071
4216813,L11,1190
4058515,G34,432
4059620,637,66
4060446,A02,583
4338548,A47,649
4343913,A27,574
4349358,A22,307
4067820,607,910
4225738,A42,347
4233006,R43,783
4235620,F02,2938
4241028,G05,2287
4452723,J12,34
4352537,L06,605
4354764,L29,1166
4355934,115,321
4453484,L08,614
4455301,G35,221
4456312,405,917
4249342,230,179
4260964,A14,214
4263802,A43,321
4264049,G18,1126
4264127,G18,356
4265471,A45,672
4464508,D28,308
4359718,L19,440
4377929,L06,524
4378951,A47,633
4469650,225,207
4268286,622,422
4573728,F15,205
4576206,D25,543
4472978,726,345
4492303,123,291
4387152,L08,735
4396939,A27,675
4397455,L29,2297
4399443,622,163
4594389,Q05,279
4498688,A46,530
4498927,A12,125
4426780,224,459
4428854,G26,179
4500530,R18,48
4614091,R34,126
4614838,A27,716
4504115,J28,299
4431674,227,208
4436944,241,85
4621213,A21,456
4621217,L06,530
4621713,L05,172
4509560,L06,530
4513084,A12,243
4514042,J31,377
4517848,A10,289
4525334,251,828
4440751,F14,167
4707959,A11,469
4711070,713,100
4711396,R05,1100
4629870,A42,243
4632795,A20,384
4637053,R05,874
4637146,J31,460
4530432,A10,244
4532913,L08,360
4714854,Q05,158
4537500,R05,422
4538012,A14,788
4539480,G26,372
4643199,627,469
4644669,B08,209
4645170,A27,570
4645319,L27,263
4660022,R22,197
4539943,J28,294
4541102,244,835
4738429,608,2638
4545999,S03,432
4668244,226,664
4668252,Q04,353
4677654,J28,393
4549557,224,194
4550602,248,567
4688209,226,299
4688418,Q04,689
4556564,115,266
4557370,A03,195
4559096,A27,583
4742068,N04,631
4747624,F16,413
4705670,G19,503
4787201,A47,572
4790969,D27,419
4904582,D07,178
4753639,115,452
4753866,114,350
4753918,J31,440
4756551,D27,431
4907861,M09,331
4795857,A10,265
4798723,F11,589
4807244,F26,655
4916340,122,426
4920338,Q03,691
4759680,F21,1382
4760085,236,309
4760107,A42,243
4766284,622,90
4768778,G26,129
4920448,121,516
4808239,F11,838
4813342,A25,218
4815953,J30,574
4820897,G36,287
4822181,Q04,542
4920489,R11,527
4925368,J30,387
4927910,J30,386
4928303,248,568
4782569,N06,574
4936254,M18,508
4823386,709,259
4823529,A18,219
4824310,L13,295
4824361,G30,406
4783902,134,460
4784570,J31,824
4786675,L08,725
5083907,G35,313
4947515,G26,306
4956469,F01,6467
4830799,F22,1141
4963237,502,547
4963511,502,791
5085803,Q05,310
5094593,701,6140
5095468,624,233
5106041,244,845
5106749,R06,543
4968633,A47,524
4968798,708,984
4845290,L05,268
4976848,F15,48
4978241,224,479
5113910,F22,1726
5115870,G08,1476
5121827,G08,1496
5125051,M11,198
4987238,R21,393
