id,walk_subway(m),walk_bus(m),car_airport(m)
36121,469,433.0,16410
36647,505,168.0,11285
38663,188,147.0,16893
38833,137,78.0,11367
39282,252,51.0,11350
39572,350,196.0,15413
6848,358,158.0,11835
6872,404,148.0,10647
6990,418,36.0,11759
7097,647,297.0,14573
7801,281,54.0,11813
8490,681,143.0,14311
93313,771,39.0,14170
94783,316,189.0,15888
96471,217,221.0,14789
98663,413,196.0,14635
100002,374,270.0,16986
100186,343,56.0,21547
42300,203,119.0,14670
42729,712,331.0,19401
43105,309,64.0,13661
44229,811,61.0,14203
44973,322,194.0,11937
9357,579,110.0,15351
10452,292,51.0,14762
12940,252,178.0,15238
14314,497,97.0,11513
15341,138,62.0,15068
15385,786,134.0,12194
16580,1268,166.0,15491
45910,430,197.0,10755
45935,384,472.0,9754
45936,663,382.0,12318
103555,998,59.0,14274
105469,312,15047.0,18257
106363,714,575.0,13313
106647,330,191.0,14442
107630,554,193.0,11031
112435,671,335.0,14651
113265,699,136.0,16062
115535,270,58.0,12372
46911,92,57.0,17190
49048,275,68.0,14779
16821,495,112.0,14772
16974,321,126.0,9834
17037,1258,76.0,15092
18152,1360,188.0,13132
18728,321,96.0,15810
19174,81,51.0,15736
19282,159,98.0,18333
52689,683,1393.0,4482
53469,1324,160.0,10355
115748,384,973.0,5105
118061,821,71.0,20355
125163,916,138.0,20511
135465,96,40.0,15503
136493,543,280.0,16886
53470,372,275.0,10971
53477,1605,192.0,9937
54466,323,143.0,12154
54508,273,102.0,16308
54544,641,23.0,11289
54860,105,75.0,10292
21794,185,147.0,15674
23135,717,313.0,19330
23545,294,180.0,13193
24285,756,174.0,17407
26785,368,81.0,18731
27883,563,94.0,15446
55959,252,52.0,11350
56859,498,139.0,11043
57166,724,496.0,3686
57297,492,85.0,16631
140133,567,39.0,12211
141335,591,126.0,24888
144087,252,79.0,11338
146726,288,60.0,10684
148259,276,126.0,11873
148825,675,160.0,12738
150804,467,148.0,14412
57874,607,106.0,10044
58059,139,56.0,12261
59014,182,143.0,14378
28907,596,154.0,12177
29013,314,4.0,14742
29628,193,73.0,15037
31130,351,107.0,14475
31994,256,256.0,14539
33009,370,65.0,11511
59121,483,190.0,10804
60611,262,8.0,11054
151199,190,1439.0,5995
152263,421,102.0,10911
157673,155,94.0,21278
158061,347,113.0,19505
166006,417,51.0,12581
60666,370,235.0,10891
34760,645,303.0,14676
212109,561,198.0,18035
213330,282,54.0,14940
216080,586,244.0,14722
218358,422,91.0,11507
219066,371,191.0,33247
219922,450,60.0,11810
60680,808,150.0,15527
61406,212,103.0,11764
62925,252,156.0,10514
63588,2693,88.0,15758
63610,791,191.0,19523
168123,687,91.0,23012
169483,467,225.0,27171
170761,321,221.0,15362
173151,536,233.0,10872
174966,391,178.0,15293
